fecha,Bolilla 1,Bolilla 2,Bolilla 3,Bolilla 4,Bolilla 5,Bolilla 6,0,1,2,3,4
2025-01-28,39.0,24.0,1.0,6.0,14.0,18 ,,,,,
2025-01-25,17.0,35.0,23.0,33.0,32.0,34 ,,,,,
2025-01-23,34.0,25.0,14.0,27.0,10.0,19 ,,,,,
2025-01-21,16.0,38.0,6.0,8.0,19.0,20 ,,,,,
2025-01-18,28.0,2.0,18.0,3.0,16.0,26 ,,,,,
2025-01-16,37.0,7.0,39.0,10.0,18.0,19 ,,,,,
2025-01-14,18.0,2.0,23.0,34.0,31.0,16 ,,,,,
2025-01-11,5.0,24.0,25.0,30.0,13.0,19 ,,,,,
2025-01-09,39.0,11.0,22.0,18.0,14.0,02 ,,,,,
2025-01-07,38.0,27.0,7.0,4.0,8.0,06 ,,,,,
2025-01-04,27.0,37.0,8.0,39.0,19.0,12 ,,,,,
2025-01-02,10.0,34.0,24.0,16.0,35.0,01 ,,,,,
2024-12-31,28.0,25.0,9.0,30.0,12.0,04 ,,,,,
2024-12-28,4.0,27.0,33.0,17.0,24.0,29 ,,,,,
2024-12-26,34.0,10.0,12.0,38.0,3.0,08 ,,,,,
2024-12-24,28.0,19.0,1.0,34.0,29.0,33 ,,,,,
2024-12-21,4.0,15.0,20.0,13.0,29.0,16 ,,,,,
2024-12-19,10.0,13.0,25.0,35.0,20.0,30 ,,,,,
2024-12-17,26.0,34.0,5.0,16.0,29.0,37 ,,,,,
2024-12-14,7.0,21.0,27.0,25.0,26.0,05 ,,,,,
2024-12-12,23.0,8.0,29.0,10.0,11.0,12 ,,,,,
2024-12-10,35.0,19.0,38.0,1.0,12.0,14 ,,,,,
2024-12-07,18.0,26.0,1.0,16.0,3.0,23 ,,,,,
2024-12-05,17.0,8.0,32.0,13.0,3.0,28 ,,,,,
2024-12-03,28.0,9.0,10.0,35.0,14.0,36 ,,,,,
2024-11-30,10.0,9.0,5.0,37.0,3.0,39 ,,,,,
2024-11-28,20.0,26.0,39.0,8.0,19.0,10 ,,,,,
2024-11-26,2.0,32.0,37.0,6.0,23.0,21 ,,,,,
2024-11-23,29.0,25.0,13.0,20.0,19.0,07 ,,,,,
2024-11-21,26.0,31.0,12.0,3.0,14.0,16 ,,,,,
2024-11-19,1.0,23.0,19.0,40.0,9.0,02 ,,,,,
2024-11-16,19.0,22.0,26.0,13.0,29.0,21 ,,,,,
2024-11-14,20.0,10.0,27.0,19.0,6.0,14 ,,,,,
2024-11-12,34.0,33.0,38.0,1.0,10.0,09 ,,,,,
2024-11-09,20.0,10.0,7.0,35.0,24.0,26 ,,,,,
2024-11-07,15.0,36.0,22.0,9.0,4.0,13 ,,,,,
2024-11-05,37.0,32.0,30.0,7.0,13.0,31 ,,,,,
2024-11-02,25.0,35.0,21.0,20.0,15.0,11 ,,,,,
2024-10-31,30.0,13.0,37.0,19.0,33.0,40 ,,,,,
2024-10-29,35.0,1.0,31.0,27.0,38.0,09 ,,,,,
2024-10-26,25.0,11.0,14.0,29.0,36.0,07 ,,,,,
2024-10-24,26.0,25.0,31.0,6.0,37.0,36 ,,,,,
2024-10-22,13.0,34.0,15.0,12.0,33.0,26 ,,,,,
2024-10-19,40.0,9.0,10.0,21.0,34.0,08 ,,,,,
2024-10-17,36.0,21.0,19.0,14.0,11.0,30 ,,,,,
2024-10-15,38.0,18.0,19.0,39.0,23.0,37 ,,,,,
2024-10-12,22.0,34.0,1.0,32.0,28.0,35 ,,,,,
2024-10-10,28.0,24.0,31.0,9.0,21.0,35 ,,,,,
2024-10-08,28.0,23.0,9.0,20.0,34.0,14 ,,,,,
2024-10-05,14.0,7.0,15.0,25.0,40.0,04 ,,,,,
2024-10-03,35.0,26.0,18.0,9.0,14.0,05 ,,,,,
2024-10-01,17.0,25.0,24.0,7.0,5.0,39 ,,,,,
2024-09-28,29.0,34.0,14.0,17.0,37.0,25 ,,,,,
2024-09-26,27.0,39.0,2.0,9.0,7.0,25 ,,,,,
2024-09-24,27.0,11.0,23.0,8.0,16.0,19 ,,,,,
2024-09-21,13.0,32.0,22.0,37.0,16.0,12 ,,,,,
2024-09-19,20.0,16.0,35.0,17.0,34.0,11 ,,,,,
2024-09-17,34.0,37.0,10.0,17.0,3.0,30 ,,,,,
2024-09-14,3.0,22.0,32.0,21.0,5.0,35 ,,,,,
2024-09-12,40.0,4.0,26.0,34.0,19.0,21 ,,,,,
2024-09-10,15.0,34.0,2.0,30.0,33.0,09 ,,,,,
2024-09-07,34.0,7.0,20.0,37.0,24.0,08 ,,,,,
2024-09-05,13.0,27.0,22.0,16.0,40.0,06 ,,,,,
2024-09-03,16.0,4.0,19.0,13.0,31.0,25 ,,,,,
2024-08-31,28.0,40.0,29.0,16.0,24.0,10 ,,,,,
2024-08-29,35.0,37.0,34.0,19.0,27.0,40 ,,,,,
2024-08-27,35.0,20.0,31.0,26.0,18.0,06 ,,,,,
2024-08-24,14.0,21.0,25.0,39.0,15.0,40 ,,,,,
2024-08-22,19.0,6.0,8.0,30.0,24.0,11 ,,,,,
2024-08-20,20.0,11.0,16.0,27.0,7.0,40 ,,,,,
2024-08-17,15.0,13.0,17.0,21.0,35.0,08 ,,,,,
2024-08-15,12.0,19.0,31.0,26.0,38.0,24 ,,,,,
2024-08-13,31.0,23.0,28.0,14.0,4.0,39 ,,,,,
2024-08-10,28.0,4.0,36.0,11.0,21.0,19 ,,,,,
2024-08-08,37.0,16.0,10.0,33.0,15.0,38 ,,,,,
2024-08-06,31.0,16.0,1.0,2.0,9.0,22 ,,,,,
2024-08-03,2.0,4.0,8.0,26.0,5.0,33 ,,,,,
2024-08-01,10.0,9.0,3.0,21.0,38.0,11 ,,,,,
2024-07-30,26.0,7.0,36.0,27.0,9.0,38 ,,,,,
2024-07-27,27.0,9.0,16.0,29.0,37.0,06 ,,,,,
2024-07-25,19.0,14.0,31.0,23.0,13.0,29 ,,,,,
2024-07-23,8.0,23.0,21.0,10.0,39.0,22 ,,,,,
2024-07-20,22.0,39.0,20.0,38.0,19.0,09 ,,,,,
2024-07-18,35.0,22.0,40.0,36.0,16.0,10 ,,,,,
2024-07-16,16.0,35.0,23.0,13.0,20.0,28 ,,,,,
2024-07-13,21.0,33.0,26.0,38.0,37.0,24 ,,,,,
2024-07-11,17.0,19.0,33.0,37.0,31.0,05 ,,,,,
2024-07-09,39.0,30.0,14.0,17.0,26.0,37 ,,,,,
2024-07-06,15.0,9.0,7.0,23.0,24.0,10 ,,,,,
2024-07-04,1.0,2.0,23.0,3.0,35.0,22 ,,,,,
2024-07-02,36.0,27.0,9.0,10.0,23.0,02 ,,,,,
2024-06-29,9.0,22.0,29.0,14.0,18.0,32 ,,,,,
2024-06-27,24.0,13.0,40.0,15.0,12.0,02 ,,,,,
2024-06-25,26.0,37.0,3.0,16.0,27.0,08 ,,,,,
2024-06-22,26.0,27.0,16.0,28.0,34.0,15 ,,,,,
2024-06-20,38.0,33.0,9.0,25.0,20.0,02 ,,,,,
2024-06-18,38.0,23.0,18.0,36.0,21.0,32 ,,,,,
2024-06-15,22.0,31.0,29.0,30.0,15.0,11 ,,,,,
2024-06-13,7.0,29.0,13.0,37.0,2.0,35 ,,,,,
2024-06-11,10.0,20.0,26.0,8.0,4.0,03 ,,,,,
2024-06-08,20.0,38.0,25.0,7.0,13.0,15 ,,,,,
2024-06-06,15.0,31.0,14.0,22.0,21.0,37 ,,,,,
2024-06-04,34.0,28.0,2.0,19.0,31.0,20 ,,,,,
2024-06-01,5.0,22.0,17.0,37.0,39.0,35 ,,,,,
2024-05-30,36.0,10.0,38.0,39.0,15.0,27 ,,,,,
2024-05-28,4.0,13.0,39.0,20.0,5.0,18 ,,,,,
2024-05-25,31.0,37.0,11.0,1.0,27.0,34 ,,,,,
2024-05-23,2.0,27.0,20.0,35.0,7.0,23 ,,,,,
2024-05-21,4.0,18.0,1.0,37.0,5.0,16 ,,,,,
2024-05-18,35.0,3.0,1.0,27.0,14.0,05 ,,,,,
2024-05-16,6.0,7.0,9.0,17.0,36.0,29 ,,,,,
2024-05-14,20.0,9.0,37.0,38.0,36.0,31 ,,,,,
2024-05-11,33.0,5.0,29.0,40.0,20.0,23 ,,,,,
2024-05-09,17.0,9.0,25.0,4.0,34.0,40 ,,,,,
2024-05-07,23.0,33.0,11.0,35.0,20.0,27 ,,,,,
2024-05-04,40.0,21.0,13.0,30.0,36.0,17 ,,,,,
2024-05-02,31.0,16.0,38.0,11.0,10.0,36 ,,,,,
2024-04-30,37.0,10.0,16.0,27.0,22.0,28 ,,,,,
2024-04-27,12.0,17.0,9.0,40.0,15.0,10 ,,,,,
2024-04-25,18.0,1.0,3.0,21.0,33.0,28 ,,,,,
2024-04-23,24.0,34.0,3.0,25.0,23.0,07 ,,,,,
2024-04-20,10.0,15.0,11.0,34.0,37.0,25 ,,,,,
2024-04-18,11.0,5.0,10.0,8.0,7.0,09 ,,,,,
2024-04-16,28.0,25.0,12.0,8.0,16.0,36 ,,,,,
2024-04-13,11.0,33.0,20.0,32.0,7.0,40 ,,,,,
2024-04-11,9.0,8.0,34.0,15.0,31.0,03 ,,,,,
2024-04-09,9.0,36.0,26.0,29.0,6.0,27 ,,,,,
2024-04-06,33.0,23.0,2.0,40.0,5.0,01 ,,,,,
2024-04-04,29.0,9.0,17.0,11.0,13.0,35 ,,,,,
2024-04-02,2.0,35.0,15.0,23.0,10.0,38 ,,,,,
2024-03-30,35.0,22.0,9.0,24.0,29.0,21 ,,,,,
2024-03-28,4.0,26.0,10.0,1.0,21.0,22 ,,,,,
2024-03-26,11.0,31.0,37.0,7.0,26.0,28 ,,,,,
2024-03-23,29.0,40.0,21.0,6.0,9.0,14 ,,,,,
2024-03-21,28.0,1.0,5.0,25.0,10.0,34 ,,,,,
2024-03-19,4.0,9.0,38.0,19.0,1.0,29 ,,,,,
2024-03-16,20.0,26.0,9.0,3.0,14.0,22 ,,,,,
2024-03-14,30.0,40.0,25.0,20.0,16.0,33 ,,,,,
2024-03-12,7.0,20.0,18.0,22.0,12.0,31 ,,,,,
2024-03-09,24.0,20.0,21.0,15.0,22.0,17 ,,,,,
2024-03-07,3.0,14.0,12.0,33.0,6.0,08 ,,,,,
2024-03-05,7.0,18.0,31.0,30.0,2.0,39 ,,,,,
2024-03-02,39.0,29.0,19.0,24.0,34.0,06 ,,,,,
2024-02-29,30.0,33.0,4.0,8.0,25.0,35 ,,,,,
2024-02-27,24.0,10.0,1.0,32.0,18.0,19 ,,,,,
2024-02-24,11.0,27.0,7.0,6.0,26.0,20 ,,,,,
2024-02-22,5.0,32.0,18.0,34.0,38.0,31 ,,,,,
2024-02-20,37.0,18.0,13.0,6.0,35.0,21 ,,,,,
2024-02-17,21.0,23.0,37.0,4.0,10.0,12 ,,,,,
2024-02-15,29.0,20.0,36.0,1.0,28.0,39 ,,,,,
2024-02-13,10.0,15.0,39.0,33.0,29.0,12 ,,,,,
2024-02-10,13.0,27.0,36.0,19.0,40.0,02 ,,,,,
2024-02-08,34.0,21.0,29.0,36.0,40.0,11 ,,,,,
2024-02-06,40.0,5.0,25.0,33.0,4.0,12 ,,,,,
2024-02-03,4.0,15.0,29.0,36.0,2.0,12 ,,,,,
2024-02-01,11.0,30.0,16.0,10.0,31.0,40 ,,,,,
2024-01-30,5.0,29.0,30.0,24.0,18.0,14 ,,,,,
2024-01-27,34.0,32.0,22.0,28.0,14.0,05 ,,,,,
2024-01-25,28.0,8.0,20.0,30.0,36.0,33 ,,,,,
2024-01-23,16.0,27.0,21.0,19.0,36.0,03 ,,,,,
2024-01-20,27.0,40.0,36.0,31.0,19.0,33 ,,,,,
2024-01-18,6.0,40.0,32.0,35.0,29.0,08 ,,,,,
2024-01-16,35.0,20.0,31.0,36.0,28.0,34 ,,,,,
2024-01-13,38.0,5.0,39.0,33.0,34.0,26 ,,,,,
2024-01-11,6.0,37.0,9.0,34.0,12.0,17 ,,,,,
2024-01-09,2.0,28.0,9.0,3.0,11.0,19 ,,,,,
2024-01-06,20.0,14.0,15.0,32.0,31.0,11 ,,,,,
2024-01-04,40.0,3.0,29.0,39.0,34.0,08 ,,,,,
2024-01-02,31.0,32.0,13.0,3.0,29.0,24 ,,,,,
2023-12-30,35.0,29.0,1.0,15.0,38.0,14 ,,,,,
2023-12-28,21.0,4.0,39.0,9.0,22.0,24 ,,,,,
2023-12-26,22.0,20.0,2.0,4.0,38.0,40 ,,,,,
2023-12-23,35.0,24.0,16.0,20.0,27.0,07 ,,,,,
2023-12-21,4.0,22.0,13.0,10.0,6.0,39 ,,,,,
2023-12-19,14.0,37.0,8.0,38.0,11.0,02 ,,,,,
2023-12-16,17.0,37.0,24.0,13.0,28.0,23 ,,,,,
2023-12-14,33.0,37.0,21.0,34.0,24.0,26 ,,,,,
2023-12-12,1.0,25.0,4.0,10.0,37.0,08 ,,,,,
2023-12-09,40.0,22.0,1.0,35.0,39.0,28 ,,,,,
2023-12-07,25.0,10.0,34.0,37.0,40.0,20 ,,,,,
2023-12-05,28.0,4.0,23.0,25.0,30.0,35 ,,,,,
2023-12-02,40.0,5.0,7.0,23.0,11.0,21 ,,,,,
2023-11-30,32.0,31.0,20.0,29.0,3.0,28 ,,,,,
2023-11-28,37.0,31.0,10.0,1.0,39.0,07 ,,,,,
2023-11-25,37.0,26.0,9.0,35.0,22.0,08 ,,,,,
2023-11-23,19.0,28.0,38.0,35.0,5.0,01 ,,,,,
2023-11-21,8.0,7.0,12.0,39.0,36.0,03 ,,,,,
2023-11-18,32.0,15.0,34.0,31.0,26.0,39 ,,,,,
2023-11-16,36.0,38.0,30.0,2.0,24.0,01 ,,,,,
2023-11-14,36.0,13.0,35.0,34.0,29.0,14 ,,,,,
2023-11-11,14.0,12.0,26.0,13.0,10.0,25 ,,,,,
2023-11-09,9.0,4.0,23.0,39.0,8.0,03 ,,,,,
2023-11-07,7.0,22.0,35.0,32.0,8.0,12 ,,,,,
2023-11-04,18.0,12.0,31.0,40.0,11.0,36 ,,,,,
2023-11-02,8.0,5.0,4.0,16.0,6.0,27 ,,,,,
2023-10-31,29.0,13.0,36.0,31.0,11.0,12 ,,,,,
2023-10-28,20.0,14.0,29.0,15.0,7.0,06 ,,,,,
2023-10-26,25.0,8.0,34.0,37.0,27.0,11 ,,,,,
2023-10-24,22.0,25.0,21.0,29.0,10.0,01 ,,,,,
2023-10-21,8.0,11.0,5.0,22.0,28.0,33 ,,,,,
2023-10-19,4.0,16.0,30.0,12.0,40.0,39 ,,,,,
2023-10-17,25.0,36.0,9.0,22.0,13.0,23 ,,,,,
2023-10-14,23.0,29.0,9.0,26.0,16.0,35 ,,,,,
2023-10-12,21.0,13.0,37.0,36.0,27.0,10 ,,,,,
2023-10-10,12.0,13.0,4.0,22.0,18.0,39 ,,,,,
2023-10-07,2.0,6.0,29.0,14.0,18.0,08 ,,,,,
2023-10-05,22.0,29.0,34.0,26.0,33.0,28 ,,,,,
2023-10-03,32.0,19.0,35.0,11.0,17.0,31 ,,,,,
2023-09-30,30.0,22.0,26.0,29.0,20.0,32 ,,,,,
2023-09-28,28.0,39.0,35.0,40.0,7.0,15 ,,,,,
2023-09-26,33.0,22.0,2.0,29.0,26.0,18 ,,,,,
2023-09-23,25.0,6.0,20.0,1.0,26.0,40 ,,,,,
2023-09-21,25.0,20.0,16.0,14.0,26.0,15 ,,,,,
2023-09-19,40.0,24.0,16.0,26.0,39.0,20 ,,,,,
2023-09-16,18.0,28.0,26.0,4.0,27.0,06 ,,,,,
2023-09-14,36.0,18.0,4.0,29.0,3.0,09 ,,,,,
2023-09-12,2.0,36.0,27.0,37.0,7.0,20 ,,,,,
2023-09-09,6.0,15.0,23.0,2.0,5.0,14 ,,,,,
2023-09-07,9.0,7.0,21.0,26.0,2.0,38 ,,,,,
2023-09-05,18.0,35.0,30.0,40.0,37.0,38 ,,,,,
2023-09-02,4.0,13.0,7.0,38.0,18.0,09 ,,,,,
2023-08-31,24.0,13.0,19.0,1.0,9.0,30 ,,,,,
2023-08-29,7.0,1.0,9.0,27.0,25.0,34 ,,,,,
2023-08-26,37.0,33.0,5.0,36.0,11.0,22 ,,,,,
2023-08-24,2.0,7.0,19.0,10.0,28.0,32 ,,,,,
2023-08-22,23.0,15.0,25.0,36.0,21.0,02 ,,,,,
2023-08-19,32.0,34.0,17.0,4.0,33.0,25 ,,,,,
2023-08-17,6.0,21.0,5.0,40.0,7.0,19 ,,,,,
2023-08-15,6.0,40.0,32.0,12.0,22.0,15 ,,,,,
2023-08-12,22.0,24.0,12.0,13.0,7.0,35 ,,,,,
2023-08-10,1.0,18.0,16.0,12.0,34.0,30 ,,,,,
2023-08-08,14.0,35.0,27.0,34.0,17.0,11 ,,,,,
2023-08-05,14.0,7.0,1.0,33.0,9.0,34 ,,,,,
2023-08-03,13.0,32.0,18.0,36.0,27.0,16 ,,,,,
2023-08-01,34.0,14.0,28.0,10.0,33.0,05 ,,,,,
2023-07-29,21.0,6.0,20.0,5.0,27.0,30 ,,,,,
2023-07-27,8.0,10.0,18.0,40.0,17.0,23 ,,,,,
2023-07-25,33.0,16.0,9.0,35.0,19.0,18 ,,,,,
2023-07-22,2.0,37.0,36.0,34.0,40.0,05 ,,,,,
2023-07-20,28.0,5.0,23.0,9.0,18.0,32 ,,,,,
2023-07-18,23.0,33.0,31.0,22.0,40.0,10 ,,,,,
2023-07-15,23.0,1.0,10.0,21.0,5.0,33 ,,,,,
2023-07-13,32.0,36.0,34.0,25.0,23.0,21 ,,,,,
2023-07-11,38.0,31.0,10.0,6.0,13.0,25 ,,,,,
2023-07-08,30.0,20.0,7.0,40.0,5.0,11 ,,,,,
2023-07-06,24.0,3.0,34.0,7.0,15.0,14 ,,,,,
2023-07-04,30.0,28.0,1.0,31.0,20.0,06 ,,,,,
2023-07-01,1.0,28.0,13.0,5.0,2.0,17 ,,,,,
2023-06-29,23.0,6.0,30.0,18.0,27.0,11 ,,,,,
2023-06-27,29.0,13.0,2.0,28.0,33.0,07 ,,,,,
2023-06-24,19.0,9.0,17.0,37.0,28.0,26 ,,,,,
2023-06-22,38.0,13.0,12.0,17.0,1.0,02 ,,,,,
2023-06-20,4.0,13.0,32.0,8.0,24.0,05 ,,,,,
2023-06-17,6.0,1.0,26.0,15.0,17.0,03 ,,,,,
2023-06-15,29.0,34.0,25.0,37.0,38.0,07 ,,,,,
2023-06-13,13.0,22.0,21.0,29.0,1.0,19 ,,,,,
2023-06-10,2.0,30.0,10.0,14.0,3.0,20 ,,,,,
2023-06-08,18.0,29.0,20.0,15.0,6.0,37 ,,,,,
2023-06-06,22.0,5.0,13.0,15.0,24.0,25 ,,,,,
2023-06-03,29.0,4.0,3.0,40.0,27.0,36 ,,,,,
2023-06-01,3.0,2.0,31.0,27.0,23.0,12 ,,,,,
2023-05-30,1.0,26.0,18.0,32.0,37.0,30 ,,,,,
2023-05-27,19.0,37.0,40.0,31.0,2.0,34 ,,,,,
2023-05-25,26.0,9.0,7.0,11.0,37.0,16 ,,,,,
2023-05-23,23.0,40.0,5.0,1.0,29.0,25 ,,,,,
2023-05-20,37.0,32.0,33.0,14.0,20.0,26 ,,,,,
2023-05-18,10.0,25.0,3.0,40.0,36.0,06 ,,,,,
2023-05-16,2.0,37.0,9.0,26.0,10.0,24 ,,,,,
2023-05-13,14.0,24.0,36.0,16.0,19.0,20 ,,,,,
2023-05-11,4.0,39.0,30.0,1.0,9.0,21 ,,,,,
2023-05-09,34.0,28.0,26.0,2.0,19.0,38 ,,,,,
2023-05-06,31.0,30.0,15.0,18.0,12.0,40 ,,,,,
2023-05-04,35.0,18.0,22.0,4.0,33.0,27 ,,,,,
2023-05-02,1.0,19.0,39.0,25.0,10.0,22 ,,,,,
2023-04-29,2.0,7.0,13.0,21.0,37.0,25 ,,,,,
2023-04-27,26.0,6.0,30.0,25.0,22.0,20 ,,,,,
2023-04-25,16.0,20.0,22.0,14.0,18.0,34 ,,,,,
2023-04-22,16.0,21.0,11.0,6.0,10.0,33 ,,,,,
2023-04-20,30.0,36.0,3.0,37.0,10.0,01 ,,,,,
2023-04-18,12.0,36.0,23.0,8.0,35.0,19 ,,,,,
2023-04-15,3.0,9.0,5.0,36.0,24.0,38 ,,,,,
2023-04-13,26.0,10.0,31.0,8.0,5.0,13 ,,,,,
2023-04-11,10.0,29.0,22.0,31.0,38.0,08 ,,,,,
2023-04-08,35.0,18.0,6.0,24.0,15.0,13 ,,,,,
2023-04-06,39.0,19.0,23.0,22.0,24.0,12 ,,,,,
2023-04-04,3.0,8.0,27.0,20.0,32.0,11 ,,,,,
2023-04-01,35.0,39.0,22.0,19.0,30.0,03 ,,,,,
2023-03-30,39.0,40.0,31.0,22.0,38.0,05 ,,,,,
2023-03-28,10.0,18.0,29.0,36.0,1.0,33 ,,,,,
2023-03-25,13.0,17.0,2.0,38.0,9.0,07 ,,,,,
2023-03-23,30.0,38.0,20.0,26.0,3.0,04 ,,,,,
2023-03-21,17.0,8.0,23.0,36.0,11.0,12 ,,,,,
2023-03-18,23.0,9.0,12.0,13.0,29.0,03 ,,,,,
2023-03-16,20.0,7.0,31.0,5.0,27.0,25 ,,,,,
2023-03-14,3.0,36.0,30.0,5.0,21.0,12 ,,,,,
2023-03-11,31.0,20.0,26.0,38.0,15.0,34 ,,,,,
2023-03-09,16.0,20.0,27.0,8.0,19.0,33 ,,,,,
2023-03-07,36.0,17.0,37.0,15.0,5.0,12 ,,,,,
2023-03-04,39.0,29.0,17.0,40.0,32.0,01 ,,,,,
2023-03-02,37.0,40.0,16.0,27.0,32.0,19 ,,,,,
2023-02-28,40.0,29.0,32.0,11.0,8.0,10 ,,,,,
2023-02-25,29.0,21.0,40.0,1.0,2.0,03 ,,,,,
2023-02-23,12.0,19.0,5.0,21.0,2.0,17 ,,,,,
2023-02-21,25.0,35.0,27.0,21.0,24.0,29 ,,,,,
2023-02-18,9.0,2.0,8.0,39.0,22.0,03 ,,,,,
2023-02-16,27.0,33.0,22.0,12.0,32.0,03 ,,,,,
2023-02-14,23.0,5.0,13.0,33.0,39.0,37 ,,,,,
2023-02-11,1.0,10.0,21.0,28.0,37.0,39 ,,,,,
2023-02-09,25.0,7.0,13.0,19.0,29.0,32 ,,,,,
2023-02-07,6.0,3.0,19.0,29.0,1.0,40 ,,,,,
2023-02-04,10.0,9.0,27.0,28.0,2.0,36 ,,,,,
2023-02-02,37.0,15.0,26.0,11.0,27.0,20 ,,,,,
2023-01-31,38.0,1.0,22.0,21.0,29.0,15 ,,,,,
2023-01-28,14.0,23.0,22.0,16.0,24.0,01 ,,,,,
2023-01-26,20.0,38.0,1.0,36.0,40.0,39 ,,,,,
2023-01-24,29.0,17.0,30.0,11.0,34.0,28 ,,,,,
2023-01-21,2.0,8.0,26.0,34.0,37.0,17 ,,,,,
2023-01-19,30.0,23.0,3.0,31.0,20.0,25 ,,,,,
