Bolilla 1,Bolilla 2,Bolilla 3,Bolilla 4,Bolilla 5,Bolilla 6
32.0,20.0,15.0,12.0,30.0,11 
34.0,22.0,16.0,17.0,21.0,29 
3.0,26.0,13.0,17.0,8.0,25 
38.0,15.0,20.0,24.0,35.0,37 
28.0,14.0,26.0,27.0,33.0,04 
38.0,36.0,33.0,31.0,4.0,20 
39.0,24.0,1.0,6.0,14.0,18 
17.0,35.0,23.0,33.0,32.0,34 
34.0,25.0,14.0,27.0,10.0,19 
16.0,38.0,6.0,8.0,19.0,20 
28.0,2.0,18.0,3.0,16.0,26 
37.0,7.0,39.0,10.0,18.0,19 
18.0,2.0,23.0,34.0,31.0,16 
5.0,24.0,25.0,30.0,13.0,19 
39.0,11.0,22.0,18.0,14.0,02 
38.0,27.0,7.0,4.0,8.0,06 
27.0,37.0,8.0,39.0,19.0,12 
10.0,34.0,24.0,16.0,35.0,01 
28.0,25.0,9.0,30.0,12.0,04 
4.0,27.0,33.0,17.0,24.0,29 
34.0,10.0,12.0,38.0,3.0,08 
28.0,19.0,1.0,34.0,29.0,33 
4.0,15.0,20.0,13.0,29.0,16 
10.0,13.0,25.0,35.0,20.0,30 
26.0,34.0,5.0,16.0,29.0,37 
7.0,21.0,27.0,25.0,26.0,05 
23.0,8.0,29.0,10.0,11.0,12 
35.0,19.0,38.0,1.0,12.0,14 
18.0,26.0,1.0,16.0,3.0,23 
17.0,8.0,32.0,13.0,3.0,28 
28.0,9.0,10.0,35.0,14.0,36 
10.0,9.0,5.0,37.0,3.0,39 
20.0,26.0,39.0,8.0,19.0,10 
2.0,32.0,37.0,6.0,23.0,21 
29.0,25.0,13.0,20.0,19.0,07 
26.0,31.0,12.0,3.0,14.0,16 
1.0,23.0,19.0,40.0,9.0,02 
19.0,22.0,26.0,13.0,29.0,21 
20.0,10.0,27.0,19.0,6.0,14 
34.0,33.0,38.0,1.0,10.0,09 
20.0,10.0,7.0,35.0,24.0,26 
15.0,36.0,22.0,9.0,4.0,13 
37.0,32.0,30.0,7.0,13.0,31 
25.0,35.0,21.0,20.0,15.0,11 
30.0,13.0,37.0,19.0,33.0,40 
35.0,1.0,31.0,27.0,38.0,09 
25.0,11.0,14.0,29.0,36.0,07 
26.0,25.0,31.0,6.0,37.0,36 
13.0,34.0,15.0,12.0,33.0,26 
40.0,9.0,10.0,21.0,34.0,08 
36.0,21.0,19.0,14.0,11.0,30 
38.0,18.0,19.0,39.0,23.0,37 
22.0,34.0,1.0,32.0,28.0,35 
28.0,24.0,31.0,9.0,21.0,35 
28.0,23.0,9.0,20.0,34.0,14 
14.0,7.0,15.0,25.0,40.0,04 
35.0,26.0,18.0,9.0,14.0,05 
17.0,25.0,24.0,7.0,5.0,39 
29.0,34.0,14.0,17.0,37.0,25 
27.0,39.0,2.0,9.0,7.0,25 
27.0,11.0,23.0,8.0,16.0,19 
13.0,32.0,22.0,37.0,16.0,12 
20.0,16.0,35.0,17.0,34.0,11 
34.0,37.0,10.0,17.0,3.0,30 
3.0,22.0,32.0,21.0,5.0,35 
40.0,4.0,26.0,34.0,19.0,21 
15.0,34.0,2.0,30.0,33.0,09 
34.0,7.0,20.0,37.0,24.0,08 
13.0,27.0,22.0,16.0,40.0,06 
16.0,4.0,19.0,13.0,31.0,25 
28.0,40.0,29.0,16.0,24.0,10 
35.0,37.0,34.0,19.0,27.0,40 
35.0,20.0,31.0,26.0,18.0,06 
14.0,21.0,25.0,39.0,15.0,40 
19.0,6.0,8.0,30.0,24.0,11 
20.0,11.0,16.0,27.0,7.0,40 
15.0,13.0,17.0,21.0,35.0,08 
12.0,19.0,31.0,26.0,38.0,24 
31.0,23.0,28.0,14.0,4.0,39 
28.0,4.0,36.0,11.0,21.0,19 
37.0,16.0,10.0,33.0,15.0,38 
31.0,16.0,1.0,2.0,9.0,22 
2.0,4.0,8.0,26.0,5.0,33 
10.0,9.0,3.0,21.0,38.0,11 
26.0,7.0,36.0,27.0,9.0,38 
27.0,9.0,16.0,29.0,37.0,06 
19.0,14.0,31.0,23.0,13.0,29 
8.0,23.0,21.0,10.0,39.0,22 
22.0,39.0,20.0,38.0,19.0,09 
35.0,22.0,40.0,36.0,16.0,10 
16.0,35.0,23.0,13.0,20.0,28 
21.0,33.0,26.0,38.0,37.0,24 
17.0,19.0,33.0,37.0,31.0,05 
39.0,30.0,14.0,17.0,26.0,37 
15.0,9.0,7.0,23.0,24.0,10 
1.0,2.0,23.0,3.0,35.0,22 
36.0,27.0,9.0,10.0,23.0,02 
9.0,22.0,29.0,14.0,18.0,32 
24.0,13.0,40.0,15.0,12.0,02 
26.0,37.0,3.0,16.0,27.0,08 
26.0,27.0,16.0,28.0,34.0,15 
38.0,33.0,9.0,25.0,20.0,02 
38.0,23.0,18.0,36.0,21.0,32 
22.0,31.0,29.0,30.0,15.0,11 
7.0,29.0,13.0,37.0,2.0,35 
10.0,20.0,26.0,8.0,4.0,03 
20.0,38.0,25.0,7.0,13.0,15 
15.0,31.0,14.0,22.0,21.0,37 
34.0,28.0,2.0,19.0,31.0,20 
5.0,22.0,17.0,37.0,39.0,35 
36.0,10.0,38.0,39.0,15.0,27 
4.0,13.0,39.0,20.0,5.0,18 
31.0,37.0,11.0,1.0,27.0,34 
2.0,27.0,20.0,35.0,7.0,23 
4.0,18.0,1.0,37.0,5.0,16 
35.0,3.0,1.0,27.0,14.0,05 
6.0,7.0,9.0,17.0,36.0,29 
20.0,9.0,37.0,38.0,36.0,31 
33.0,5.0,29.0,40.0,20.0,23 
17.0,9.0,25.0,4.0,34.0,40 
23.0,33.0,11.0,35.0,20.0,27 
40.0,21.0,13.0,30.0,36.0,17 
31.0,16.0,38.0,11.0,10.0,36 
37.0,10.0,16.0,27.0,22.0,28 
12.0,17.0,9.0,40.0,15.0,10 
18.0,1.0,3.0,21.0,33.0,28 
24.0,34.0,3.0,25.0,23.0,07 
10.0,15.0,11.0,34.0,37.0,25 
11.0,5.0,10.0,8.0,7.0,09 
28.0,25.0,12.0,8.0,16.0,36 
11.0,33.0,20.0,32.0,7.0,40 
9.0,8.0,34.0,15.0,31.0,03 
9.0,36.0,26.0,29.0,6.0,27 
33.0,23.0,2.0,40.0,5.0,01 
29.0,9.0,17.0,11.0,13.0,35 
2.0,35.0,15.0,23.0,10.0,38 
35.0,22.0,9.0,24.0,29.0,21 
4.0,26.0,10.0,1.0,21.0,22 
11.0,31.0,37.0,7.0,26.0,28 
29.0,40.0,21.0,6.0,9.0,14 
28.0,1.0,5.0,25.0,10.0,34 
4.0,9.0,38.0,19.0,1.0,29 
20.0,26.0,9.0,3.0,14.0,22 
30.0,40.0,25.0,20.0,16.0,33 
7.0,20.0,18.0,22.0,12.0,31 
24.0,20.0,21.0,15.0,22.0,17 
3.0,14.0,12.0,33.0,6.0,08 
7.0,18.0,31.0,30.0,2.0,39 
39.0,29.0,19.0,24.0,34.0,06 
30.0,33.0,4.0,8.0,25.0,35 
24.0,10.0,1.0,32.0,18.0,19 
11.0,27.0,7.0,6.0,26.0,20 
5.0,32.0,18.0,34.0,38.0,31 
37.0,18.0,13.0,6.0,35.0,21 
21.0,23.0,37.0,4.0,10.0,12 
29.0,20.0,36.0,1.0,28.0,39 
10.0,15.0,39.0,33.0,29.0,12 
13.0,27.0,36.0,19.0,40.0,02 
34.0,21.0,29.0,36.0,40.0,11 
40.0,5.0,25.0,33.0,4.0,12 
4.0,15.0,29.0,36.0,2.0,12 
11.0,30.0,16.0,10.0,31.0,40 
5.0,29.0,30.0,24.0,18.0,14 
34.0,32.0,22.0,28.0,14.0,05 
28.0,8.0,20.0,30.0,36.0,33 
16.0,27.0,21.0,19.0,36.0,03 
27.0,40.0,36.0,31.0,19.0,33 
6.0,40.0,32.0,35.0,29.0,08 
35.0,20.0,31.0,36.0,28.0,34 
38.0,5.0,39.0,33.0,34.0,26 
6.0,37.0,9.0,34.0,12.0,17 
2.0,28.0,9.0,3.0,11.0,19 
20.0,14.0,15.0,32.0,31.0,11 
40.0,3.0,29.0,39.0,34.0,08 
31.0,32.0,13.0,3.0,29.0,24 
35.0,29.0,1.0,15.0,38.0,14 
21.0,4.0,39.0,9.0,22.0,24 
22.0,20.0,2.0,4.0,38.0,40 
35.0,24.0,16.0,20.0,27.0,07 
4.0,22.0,13.0,10.0,6.0,39 
14.0,37.0,8.0,38.0,11.0,02 
17.0,37.0,24.0,13.0,28.0,23 
33.0,37.0,21.0,34.0,24.0,26 
1.0,25.0,4.0,10.0,37.0,08 
40.0,22.0,1.0,35.0,39.0,28 
25.0,10.0,34.0,37.0,40.0,20 
28.0,4.0,23.0,25.0,30.0,35 
40.0,5.0,7.0,23.0,11.0,21 
32.0,31.0,20.0,29.0,3.0,28 
37.0,31.0,10.0,1.0,39.0,07 
37.0,26.0,9.0,35.0,22.0,08 
19.0,28.0,38.0,35.0,5.0,01 
8.0,7.0,12.0,39.0,36.0,03 
32.0,15.0,34.0,31.0,26.0,39 
36.0,38.0,30.0,2.0,24.0,01 
36.0,13.0,35.0,34.0,29.0,14 
14.0,12.0,26.0,13.0,10.0,25 
9.0,4.0,23.0,39.0,8.0,03 
7.0,22.0,35.0,32.0,8.0,12 
18.0,12.0,31.0,40.0,11.0,36 
8.0,5.0,4.0,16.0,6.0,27 
29.0,13.0,36.0,31.0,11.0,12 
20.0,14.0,29.0,15.0,7.0,06 
25.0,8.0,34.0,37.0,27.0,11 
22.0,25.0,21.0,29.0,10.0,01 
8.0,11.0,5.0,22.0,28.0,33 
4.0,16.0,30.0,12.0,40.0,39 
25.0,36.0,9.0,22.0,13.0,23 
23.0,29.0,9.0,26.0,16.0,35 
21.0,13.0,37.0,36.0,27.0,10 
12.0,13.0,4.0,22.0,18.0,39 
2.0,6.0,29.0,14.0,18.0,08 
22.0,29.0,34.0,26.0,33.0,28 
32.0,19.0,35.0,11.0,17.0,31 
30.0,22.0,26.0,29.0,20.0,32 
28.0,39.0,35.0,40.0,7.0,15 
33.0,22.0,2.0,29.0,26.0,18 
25.0,6.0,20.0,1.0,26.0,40 
25.0,20.0,16.0,14.0,26.0,15 
40.0,24.0,16.0,26.0,39.0,20 
18.0,28.0,26.0,4.0,27.0,06 
36.0,18.0,4.0,29.0,3.0,09 
2.0,36.0,27.0,37.0,7.0,20 
6.0,15.0,23.0,2.0,5.0,14 
9.0,7.0,21.0,26.0,2.0,38 
18.0,35.0,30.0,40.0,37.0,38 
4.0,13.0,7.0,38.0,18.0,09 
24.0,13.0,19.0,1.0,9.0,30 
7.0,1.0,9.0,27.0,25.0,34 
37.0,33.0,5.0,36.0,11.0,22 
2.0,7.0,19.0,10.0,28.0,32 
23.0,15.0,25.0,36.0,21.0,02 
32.0,34.0,17.0,4.0,33.0,25 
6.0,21.0,5.0,40.0,7.0,19 
6.0,40.0,32.0,12.0,22.0,15 
22.0,24.0,12.0,13.0,7.0,35 
1.0,18.0,16.0,12.0,34.0,30 
14.0,35.0,27.0,34.0,17.0,11 
14.0,7.0,1.0,33.0,9.0,34 
13.0,32.0,18.0,36.0,27.0,16 
34.0,14.0,28.0,10.0,33.0,05 
21.0,6.0,20.0,5.0,27.0,30 
8.0,10.0,18.0,40.0,17.0,23 
33.0,16.0,9.0,35.0,19.0,18 
2.0,37.0,36.0,34.0,40.0,05 
28.0,5.0,23.0,9.0,18.0,32 
23.0,33.0,31.0,22.0,40.0,10 
23.0,1.0,10.0,21.0,5.0,33 
32.0,36.0,34.0,25.0,23.0,21 
38.0,31.0,10.0,6.0,13.0,25 
30.0,20.0,7.0,40.0,5.0,11 
24.0,3.0,34.0,7.0,15.0,14 
30.0,28.0,1.0,31.0,20.0,06 
1.0,28.0,13.0,5.0,2.0,17 
23.0,6.0,30.0,18.0,27.0,11 
29.0,13.0,2.0,28.0,33.0,07 
19.0,9.0,17.0,37.0,28.0,26 
38.0,13.0,12.0,17.0,1.0,02 
4.0,13.0,32.0,8.0,24.0,05 
6.0,1.0,26.0,15.0,17.0,03 
29.0,34.0,25.0,37.0,38.0,07 
13.0,22.0,21.0,29.0,1.0,19 
2.0,30.0,10.0,14.0,3.0,20 
18.0,29.0,20.0,15.0,6.0,37 
22.0,5.0,13.0,15.0,24.0,25 
29.0,4.0,3.0,40.0,27.0,36 
3.0,2.0,31.0,27.0,23.0,12 
1.0,26.0,18.0,32.0,37.0,30 
19.0,37.0,40.0,31.0,2.0,34 
26.0,9.0,7.0,11.0,37.0,16 
23.0,40.0,5.0,1.0,29.0,25 
37.0,32.0,33.0,14.0,20.0,26 
10.0,25.0,3.0,40.0,36.0,06 
2.0,37.0,9.0,26.0,10.0,24 
14.0,24.0,36.0,16.0,19.0,20 
4.0,39.0,30.0,1.0,9.0,21 
34.0,28.0,26.0,2.0,19.0,38 
31.0,30.0,15.0,18.0,12.0,40 
35.0,18.0,22.0,4.0,33.0,27 
1.0,19.0,39.0,25.0,10.0,22 
2.0,7.0,13.0,21.0,37.0,25 
26.0,6.0,30.0,25.0,22.0,20 
16.0,20.0,22.0,14.0,18.0,34 
16.0,21.0,11.0,6.0,10.0,33 
30.0,36.0,3.0,37.0,10.0,01 
12.0,36.0,23.0,8.0,35.0,19 
3.0,9.0,5.0,36.0,24.0,38 
26.0,10.0,31.0,8.0,5.0,13 
10.0,29.0,22.0,31.0,38.0,08 
35.0,18.0,6.0,24.0,15.0,13 
39.0,19.0,23.0,22.0,24.0,12 
3.0,8.0,27.0,20.0,32.0,11 
35.0,39.0,22.0,19.0,30.0,03 
39.0,40.0,31.0,22.0,38.0,05 
10.0,18.0,29.0,36.0,1.0,33 
13.0,17.0,2.0,38.0,9.0,07 
30.0,38.0,20.0,26.0,3.0,04 
17.0,8.0,23.0,36.0,11.0,12 
23.0,9.0,12.0,13.0,29.0,03 
20.0,7.0,31.0,5.0,27.0,25 
3.0,36.0,30.0,5.0,21.0,12 
31.0,20.0,26.0,38.0,15.0,34 
16.0,20.0,27.0,8.0,19.0,33 
36.0,17.0,37.0,15.0,5.0,12 
39.0,29.0,17.0,40.0,32.0,01 
37.0,40.0,16.0,27.0,32.0,19 
40.0,29.0,32.0,11.0,8.0,10 
29.0,21.0,40.0,1.0,2.0,03 
12.0,19.0,5.0,21.0,2.0,17 
25.0,35.0,27.0,21.0,24.0,29 
9.0,2.0,8.0,39.0,22.0,03 
27.0,33.0,22.0,12.0,32.0,03 
23.0,5.0,13.0,33.0,39.0,37 
1.0,10.0,21.0,28.0,37.0,39 
25.0,7.0,13.0,19.0,29.0,32 
6.0,3.0,19.0,29.0,1.0,40 
10.0,9.0,27.0,28.0,2.0,36 
37.0,15.0,26.0,11.0,27.0,20 
38.0,1.0,22.0,21.0,29.0,15 
14.0,23.0,22.0,16.0,24.0,01 
20.0,38.0,1.0,36.0,40.0,39 
29.0,17.0,30.0,11.0,34.0,28 
2.0,8.0,26.0,34.0,37.0,17 
30.0,23.0,3.0,31.0,20.0,25 
8.0,13.0,31.0,39.0,38.0,27 
6.0,37.0,33.0,7.0,4.0,40 
19.0,27.0,17.0,39.0,30.0,02 
37.0,32.0,33.0,24.0,34.0,11 
17.0,36.0,18.0,31.0,8.0,28 
33.0,13.0,22.0,32.0,7.0,05 
14.0,34.0,13.0,29.0,16.0,06 
11.0,7.0,18.0,15.0,17.0,16 
28.0,1.0,9.0,7.0,39.0,02 
17.0,5.0,7.0,28.0,1.0,15 
15.0,39.0,24.0,32.0,12.0,28 
28.0,3.0,30.0,23.0,20.0,01 
35.0,38.0,30.0,36.0,23.0,34 
15.0,32.0,3.0,24.0,19.0,11 
7.0,21.0,9.0,18.0,33.0,23 
7.0,26.0,32.0,39.0,28.0,16 
32.0,6.0,34.0,30.0,10.0,09 
2.0,16.0,21.0,1.0,17.0,30 
19.0,30.0,40.0,21.0,20.0,08 
28.0,33.0,7.0,29.0,1.0,32 
38.0,17.0,14.0,39.0,34.0,35 
15.0,24.0,4.0,30.0,37.0,27 
21.0,37.0,34.0,9.0,22.0,08 
11.0,26.0,22.0,5.0,38.0,17 
7.0,16.0,12.0,25.0,21.0,18 
40.0,17.0,26.0,2.0,14.0,24 
39.0,17.0,7.0,11.0,12.0,27 
6.0,8.0,19.0,10.0,23.0,35 
17.0,21.0,28.0,19.0,31.0,10 
14.0,37.0,10.0,1.0,15.0,13 
37.0,19.0,39.0,4.0,6.0,27 
38.0,14.0,5.0,13.0,39.0,20 
33.0,14.0,29.0,2.0,30.0,11 
4.0,19.0,28.0,7.0,32.0,03 
2.0,14.0,29.0,5.0,34.0,39 
12.0,10.0,18.0,4.0,25.0,13 
13.0,10.0,4.0,5.0,8.0,20 
13.0,28.0,5.0,23.0,31.0,11 
30.0,13.0,34.0,9.0,15.0,18 
18.0,16.0,34.0,36.0,28.0,02 
19.0,38.0,17.0,13.0,32.0,27 
15.0,13.0,28.0,18.0,20.0,16 
2.0,25.0,34.0,1.0,15.0,11 
33.0,30.0,11.0,26.0,38.0,35 
10.0,21.0,40.0,38.0,19.0,26 
15.0,27.0,22.0,1.0,40.0,02 
36.0,37.0,30.0,6.0,24.0,21 
33.0,22.0,13.0,24.0,31.0,02 
29.0,1.0,15.0,38.0,11.0,08 
11.0,3.0,38.0,10.0,7.0,16 
16.0,35.0,21.0,8.0,4.0,15 
40.0,36.0,30.0,2.0,29.0,13 
16.0,10.0,24.0,32.0,17.0,33 
38.0,12.0,8.0,1.0,40.0,29 
28.0,29.0,14.0,23.0,36.0,17 
40.0,36.0,13.0,5.0,25.0,34 
29.0,27.0,40.0,33.0,16.0,32 
33.0,4.0,25.0,30.0,6.0,34 
16.0,4.0,3.0,37.0,30.0,32 
33.0,6.0,38.0,20.0,40.0,21 
23.0,35.0,22.0,10.0,26.0,17 
8.0,30.0,16.0,33.0,22.0,21 
15.0,1.0,23.0,18.0,12.0,34 
28.0,6.0,3.0,30.0,9.0,36 
35.0,28.0,24.0,36.0,20.0,03 
3.0,37.0,30.0,15.0,7.0,25 
15.0,4.0,13.0,2.0,31.0,18 
7.0,18.0,1.0,30.0,28.0,03 
35.0,1.0,30.0,4.0,10.0,39 
27.0,38.0,13.0,15.0,23.0,05 
2.0,30.0,8.0,16.0,20.0,06 
34.0,32.0,3.0,38.0,37.0,09 
38.0,26.0,5.0,19.0,34.0,23 
11.0,28.0,13.0,38.0,1.0,24 
11.0,28.0,27.0,29.0,22.0,14 
37.0,29.0,38.0,3.0,31.0,40 
26.0,39.0,19.0,21.0,24.0,36 
25.0,22.0,33.0,16.0,15.0,10 
7.0,9.0,21.0,32.0,20.0,36 
38.0,23.0,39.0,16.0,32.0,27 
28.0,21.0,14.0,18.0,17.0,34 
1.0,29.0,20.0,7.0,26.0,31 
30.0,32.0,33.0,39.0,18.0,27 
2.0,23.0,4.0,36.0,5.0,25 
32.0,28.0,14.0,37.0,8.0,40 
32.0,21.0,22.0,4.0,5.0,09 
26.0,34.0,1.0,15.0,28.0,07 
22.0,31.0,7.0,38.0,6.0,34 
5.0,6.0,30.0,1.0,24.0,29 
36.0,27.0,40.0,2.0,26.0,17 
16.0,11.0,10.0,18.0,1.0,31 
32.0,3.0,38.0,26.0,7.0,16 
16.0,2.0,8.0,7.0,29.0,27 
2.0,23.0,36.0,29.0,37.0,38 
28.0,23.0,18.0,29.0,8.0,14 
13.0,18.0,19.0,8.0,40.0,07 
24.0,6.0,3.0,5.0,10.0,16 
34.0,24.0,22.0,4.0,3.0,15 
6.0,31.0,27.0,22.0,38.0,36 
25.0,29.0,18.0,36.0,17.0,39 
23.0,40.0,16.0,21.0,31.0,34 
1.0,2.0,3.0,27.0,12.0,22 
22.0,5.0,1.0,11.0,33.0,23 
34.0,40.0,14.0,5.0,36.0,28 
15.0,26.0,12.0,31.0,17.0,20 
19.0,30.0,7.0,15.0,17.0,12 
12.0,33.0,3.0,38.0,25.0,20 
20.0,33.0,39.0,3.0,4.0,23 
31.0,29.0,18.0,14.0,2.0,21 
30.0,18.0,31.0,32.0,16.0,29 
7.0,20.0,30.0,28.0,11.0,24 
8.0,10.0,15.0,27.0,24.0,26 
40.0,18.0,30.0,8.0,27.0,26 
9.0,11.0,12.0,27.0,25.0,21 
16.0,32.0,6.0,26.0,29.0,39 
8.0,12.0,5.0,40.0,4.0,02 
23.0,39.0,21.0,36.0,30.0,20 
29.0,37.0,4.0,8.0,33.0,02 
5.0,1.0,4.0,27.0,40.0,06 
5.0,14.0,16.0,27.0,38.0,11 
13.0,2.0,12.0,1.0,27.0,18 
38.0,31.0,29.0,24.0,34.0,02 
2.0,8.0,35.0,24.0,7.0,04 
33.0,6.0,21.0,19.0,40.0,22 
31.0,14.0,15.0,8.0,23.0,24 
30.0,13.0,12.0,38.0,5.0,24 
36.0,38.0,7.0,18.0,16.0,40 
28.0,40.0,14.0,10.0,32.0,33 
34.0,7.0,13.0,20.0,10.0,30 
39.0,27.0,20.0,13.0,38.0,34 
17.0,28.0,16.0,34.0,27.0,25 
21.0,9.0,4.0,24.0,25.0,39 
20.0,4.0,12.0,10.0,2.0,15 
16.0,9.0,28.0,14.0,6.0,23 
23.0,27.0,40.0,37.0,30.0,17 
20.0,35.0,34.0,39.0,3.0,33 
38.0,16.0,33.0,5.0,25.0,02 
33.0,20.0,10.0,29.0,32.0,26 
35.0,38.0,12.0,20.0,21.0,05 
9.0,17.0,10.0,15.0,5.0,11 
21.0,31.0,32.0,3.0,36.0,08 
4.0,40.0,26.0,37.0,35.0,39 
34.0,12.0,32.0,11.0,39.0,24 
35.0,38.0,29.0,16.0,17.0,34 
18.0,9.0,11.0,35.0,8.0,37 
33.0,28.0,35.0,27.0,10.0,32 
7.0,37.0,40.0,3.0,35.0,38 
29.0,15.0,35.0,32.0,5.0,25 
13.0,11.0,20.0,16.0,31.0,34 
1.0,31.0,39.0,40.0,37.0,15 
12.0,2.0,4.0,28.0,27.0,25 
11.0,13.0,22.0,5.0,39.0,15 
23.0,35.0,7.0,30.0,25.0,15 
28.0,21.0,4.0,27.0,8.0,09 
25.0,30.0,16.0,39.0,2.0,08 
27.0,38.0,12.0,17.0,23.0,01 
30.0,23.0,1.0,26.0,16.0,06 
39.0,36.0,34.0,13.0,40.0,24 
33.0,22.0,5.0,23.0,28.0,31 
39.0,23.0,22.0,37.0,28.0,26 
37.0,10.0,14.0,28.0,21.0,33 
21.0,38.0,9.0,5.0,4.0,36 
21.0,15.0,37.0,32.0,23.0,28 
27.0,5.0,23.0,34.0,28.0,06 
5.0,39.0,34.0,37.0,25.0,06 
1.0,30.0,21.0,15.0,8.0,40 
38.0,22.0,31.0,3.0,40.0,01 
2.0,38.0,32.0,23.0,1.0,30 
14.0,28.0,7.0,8.0,37.0,17 
36.0,25.0,22.0,37.0,3.0,09 
18.0,21.0,17.0,14.0,40.0,09 
36.0,23.0,14.0,8.0,35.0,03 
22.0,13.0,24.0,3.0,8.0,28 
19.0,2.0,37.0,39.0,3.0,05 
15.0,40.0,17.0,25.0,2.0,01 
38.0,4.0,27.0,32.0,30.0,28 
12.0,36.0,32.0,25.0,1.0,40 
31.0,12.0,33.0,25.0,9.0,37 
32.0,34.0,1.0,22.0,39.0,03 
37.0,35.0,28.0,13.0,5.0,14 
7.0,5.0,1.0,19.0,32.0,16 
13.0,18.0,21.0,22.0,19.0,07 
11.0,26.0,1.0,25.0,21.0,27 
23.0,20.0,38.0,19.0,10.0,34 
9.0,1.0,25.0,39.0,10.0,04 
4.0,25.0,12.0,24.0,27.0,30 
13.0,18.0,19.0,3.0,32.0,01 
26.0,14.0,11.0,18.0,29.0,33 
7.0,16.0,32.0,17.0,40.0,15 
6.0,24.0,29.0,3.0,25.0,12 
25.0,2.0,10.0,17.0,35.0,27 
7.0,16.0,25.0,13.0,18.0,28 
3.0,25.0,34.0,2.0,7.0,40 
6.0,14.0,8.0,34.0,11.0,05 
26.0,19.0,33.0,1.0,8.0,05 
27.0,39.0,26.0,21.0,40.0,03 
30.0,29.0,1.0,12.0,40.0,18 
20.0,14.0,29.0,10.0,28.0,05 
11.0,1.0,5.0,21.0,36.0,13 
18.0,6.0,27.0,32.0,12.0,22 
40.0,35.0,23.0,17.0,9.0,16 
9.0,8.0,23.0,15.0,35.0,30 
35.0,3.0,1.0,16.0,21.0,29 
2.0,34.0,15.0,5.0,6.0,20 
34.0,4.0,37.0,27.0,30.0,01 
15.0,26.0,14.0,27.0,7.0,17 
34.0,40.0,10.0,25.0,28.0,15 
1.0,4.0,21.0,30.0,12.0,31 
18.0,9.0,29.0,16.0,36.0,37 
4.0,12.0,35.0,23.0,25.0,36 
39.0,9.0,27.0,35.0,22.0,21 
38.0,22.0,36.0,8.0,34.0,40 
36.0,10.0,5.0,7.0,9.0,24 
14.0,10.0,32.0,5.0,16.0,22 
29.0,12.0,17.0,34.0,35.0,32 
6.0,15.0,39.0,3.0,17.0,38 
11.0,7.0,28.0,18.0,14.0,12 
22.0,25.0,34.0,31.0,28.0,35 
11.0,32.0,34.0,27.0,4.0,15 
